10_inject,10_mV,5_inject,5_mV,,,,,,,,,,,
-31.7042,-3.03,-15.4021,-3.03,,,,,,,,,,,
-21.3333,-2.03,-10.2167,-2.03,,,,,, , , , , , 
-10.9563,-1.02,-5.0333,-1.03,,,,,, , , , , , 
-0.5646,-0.02,0.1646,-0.02,,,,,, , , , , , 
9.8062,0.98,5.3625,0.98,,,,,, , , , , , 
20.1958,1.98,10.5667,1.98,,,,,, , , , , , 
30.5729,2.98,15.7458,2.98,,,,,, , , , , , 
-31.1542,-3.03,,,,,,,, , , , , , 
-20.9646,-2.03,,,,,,,, , , , , , 
-10.7708,-1.03,,,,,,,, , , , , , 
-0.5062,-0.02,,,,,,,, , , , , , 
9.7354,0.98,,,,,,,, , , , , , 
19.975,1.98,,,,,,,, , , , , , 
30.175,2.98,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
,,,,,,,,, , , , , , 
